report_id,country_code,rate,year
795,ESP,98.14391327,2004
796,ESP,98.61746979,2005
797,ESP,98.56102753,2006
798,ESP,98.633461,2007
799,ESP,98.40229797,2008
800,ESP,98.46193695,2009
801,ESP,98.52571106,2010
802,ESP,98.53618622,2011
803,ESP,98.60652924,2012
804,ESP,98.74874878,2013
805,ESP,98.73126984,2014
806,ESP,98.77088928,2015
807,ESP,98.83596802,2016
808,ESP,98.92539215,2018
809,ESP,99.02506256,2020
810,LKA,91.3483963,1981
811,LKA,92.27020264,2001
812,LKA,92.71365356,2006
813,LKA,92.243927,2008
814,LKA,92.57846832,2010
815,LKA,93.45588684,2016
816,LKA,92.98055267,2017
817,LKA,92.77292633,2018
818,LKA,93.03135681,2019
819,SDN,71.58101654,2000
820,SDN,59.79824829,2008
821,SDN,65.43515015,2018
822,SUR,92.0163269,2004
823,SUR,95.49294281,2008
824,SUR,95.36479187,2010
825,SUR,94.86987305,2012
826,SUR,96.07404327,2018
827,SYR,73.58422089,1981
828,SYR,91.02857208,2002
829,SYR,87.75814056,2004
830,TJK,98.79109192,1989
831,TJK,99.68399048,2000
832,TJK,99.81999969,2014
833,TZA,71.3657074,1988
834,TZA,77.50640106,2002
835,TZA,75.46779633,2010
836,TZA,83.37769318,2012
837,TZA,83.20484924,2015
838,THA,92.21295929,1980
839,THA,94.90157318,2000
840,THA,95.60024261,2005
841,THA,96.43502045,2010
842,THA,95.25125885,2013
843,THA,94.65911865,2015
844,THA,95.20239258,2018
845,TLS,45.29999924,2001
846,TLS,58.5,2007
847,TLS,63.59178925,2010
848,TLS,71.86872101,2018
849,TGO,68.72573853,2000
850,TGO,70.2702713,2006
851,TGO,71.16635132,2009
852,TGO,74.05682373,2011
853,TGO,77.25942993,2015
854,TGO,79.99169159,2019
855,TON,99.65866089,1976
856,TON,98.83406067,1996
857,TON,98.95388031,2006
858,TON,99.33509827,2011
859,TON,99.35098267,2018
860,TTO,96.52153015,1980
861,TTO,98.00980377,1990
862,TTO,98.75,2000
863,TTO,99.13999939,2010
864,TUN,60.40723038,1984
865,TUN,83.38509369,2004
866,TUN,86.05368042,2007
867,TUN,86.37580872,2008
868,TUN,87.37573242,2010
869,TUN,87.76075745,2011
870,TUN,88.47577667,2012
871,TUN,86.06011963,2014
872,TUR,77.50393677,1975
873,TUR,81.44944,1980
874,TUR,87.61972046,1985
875,TUR,89.84703064,1990
876,TUR,95.27349091,2004
877,TUR,96.00061798,2005
878,TUR,95.99562073,2006
879,TUR,96.20185852,2007
880,TUR,96.37770844,2009
881,TUR,97.29981232,2010
882,TUR,97.93498993,2011
883,TUR,98.26290131,2012
884,TUR,98.40136719,2013
885,TUR,98.49678802,2014
886,TUR,98.57562256,2015
887,TUR,98.77583313,2016
888,TUR,98.81996155,2017
889,TUR,99.07530975,2019
890,TKM,99.32498169,1995
891,TKM,99.75,2014
892,UGA,68.1980896,1991
893,UGA,78.30402374,2002
894,UGA,81.38858795,2006
895,UGA,82.63139343,2010
896,UGA,79.12303925,2012
897,UGA,82.65601349,2018
898,UKR,99.74343109,2001
899,UKR,99.99394226,2012
900,ARE,58.3861084,1975
901,ARE,72.27427673,1985
902,ARE,89.48210144,2005
903,ARE,98.02413177,2019
904,URY,93.38825989,1975
905,URY,94.83361053,1985
906,URY,96.24452972,1996
907,URY,97.44477844,2006
908,URY,97.42169189,2007
909,URY,97.83128357,2008
910,URY,97.97241974,2009
911,URY,97.61016846,2010
912,URY,98.02310944,2011
913,URY,98.10397339,2012
914,URY,98.06342316,2013
915,URY,98.02507019,2014
916,URY,98.1459198,2015
917,URY,98.24452972,2016
918,URY,98.23419189,2017
919,URY,98.37136078,2018
920,URY,98.4809494,2019
921,UZB,99.16443634,2000
922,UZB,99.99382782,2013
923,UZB,99.98519135,2014
924,UZB,99.99204254,2015
925,UZB,99.99487305,2016
926,UZB,99.99997711,2018
927,UZB,99.99994659,2019
928,VUT,57.33509827,1979
929,VUT,62.31000137,1984
930,VUT,71.76999664,1994
931,VUT,80.48000336,2004
932,VUT,86.18000031,2014
933,VUT,88.30635071,2018
934,VEN,86.48932648,1981
